index,time,scramble
61,54.82,R2 U' L2 D' B2 L2 D F2 U B2 L2 R D U R' D2 B D R U'
62,49.89,R L2 B2 U' R2 D L2 B2 L2 D2 U' L2 R' F L2 D2 U' F' U
63,51.12,L' U2 B2 D2 R2 F2 L' F2 R B2 U2 F2 B U' B2 D2 L' U2 B' D L'
64,54.78,R2 F L' U B2 D B2 R' U' B' F2 D2 F2 U' R2 U L2 D B2 L2 F2
65,53.06,R2 U F R' D' F' L F' L F2 R U2 R' D2 L U2 F2 R B2 R
66,52.86,D2 R' D2 L' F2 R' U2 R' B2 D2 R2 B' F' D' L U2 B' F2 D B2
67,1:02.71,U2 F2 U2 B2 L U2 B2 R D2 U2 F' R F U B R2 B2 D' F2
68,1:12.02,L B R2 B2 D2 B2 D' R2 U2 F2 L2 B2 L2 D' L U L2 R F' D' F
69,1:21.08,F2 L' F2 L2 U2 R2 U L2 R2 B2 D' F U2 B' L D' F2 U2
70,55.09,L2 F2 R' F2 L F2 U2 L2 F2 L B2 R B F L' D' B2 D F L2 U'
71,1:08.01,U R' U' L2 U2 R2 F2 D' B2 D2 R2 B2 U2 R U' L' D' B D2 F
72,59.12,L B R' D R2 B R' U' R2 B2 R2 B2 U2 B2 R F2 L' U2 R2 B
73,48.14,D' R2 D2 R2 F2 U R2 B2 F2 R2 F2 R' B U2 F U F2 D L U2 F2
74,1:04.24,D' L2 F2 D F2 D' U2 R2 B2 U' R2 B2 L' R' U' F L' F' R F
75,54.87,F2 L2 U' F2 L2 D F2 L2 B2 U' B2 D B' R' B D' U L2 B L B2
76,58.72,F2 U L2 R2 U' L2 U2 L2 D B2 U2 L' B2 L2 D2 U' L F' D' L2 B2
77,38.69,F' L2 F' D2 F' U2 B R2 D2 L2 U2 D' R D B L2 F D2 U' B
78,50.12,L2 U D2 B2 D2 B2 L2 D2 F D2 B F' D U' B' D R D R
79,1:07.41,R2 B' D F R2 D2 L2 U2 F D2 L2 F R2 B' L' R D' R F L R
80,53.02,B R2 U' L2 U' L D F B L2 U' F2 U2 L2 F2 D L2 U' F2 D' R2
